Betain HCL,Betaine HCL,Blå,500 mg,1500 mg,Magsyra-stöd.,Tas mitt i måltid. Ej vid sår.,Medium. Bränner om ej behov.,FALSE,1
Betakaroten,Beta-Carotene,Grön,3 mg,15 mg,"Provitamin A, hudskydd.",Omvandlas till A vid behov (säkrare).,Låg. 'Smoker's paradox' risk?,TRUE,1; 8
Betasitosterol,Beta-Sitosterol,Grön,300 mg,600 mg,"Prostata, kolesterol.",Växtsterol.,Låg.,FALSE,1; 6
Bidrottninggelé,Royal Jelly,Blå,500 mg,1000 mg,"Vitalitet, immun.",Näringstät.,Låg. Allergi?,FALSE,1
Bifidobacterium Longum,Bifidobacterium Longum,Grön,1 mdr,10 mdr,"Stress, mage.",Psykobiotika.,Låg.,FALSE,1; 5
Bioperine (Svartpeppar),Bioperine (Black Pepper Extract),Grön,5 mg,10 mg,Ökar upptag av andra ämnen.,Hämmar glukuronidering i levern.,Medium. Påverkar medicinupptag.,FALSE,1; 9
Biotin,Biotin (Vitamin B7),Grön,1000 mcg,5000 mcg,"Hår, hud, naglar.",Vattenlöslig.,Låg. Stör labbtester (sköldkörtel/hjärta).,TRUE,1
Biotin,Biotin,Grön,2500 mcg,10000 mcg,"Hårväxt, naglar.",B-vitamin.,Låg. Labtest-interferens.,TRUE,1
Bittermelon,Bitter Melon,Grön,500 mg,1000 mg,Blodsocker.,Innehåller charantin.,Låg.,FALSE,6
Bittermelon,Bitter Melon,Blå,500 mg,1000 mg,Blodsocker.,Växtinsulin.,Låg.,FALSE,6
Björkblad,Birch Leaf,Blå,500 mg,1000 mg,"Urinvägar, detox.",Diuretisk.,Låg.,FALSE,1
Blåbärsextrakt,Blueberry Extract,Grön,500 mg,1000 mg,"Minne, antioxidant.",Antocyaniner.,Låg.,FALSE,4; 1
Bockhornsklöver,Fenugreek,Grön,500 mg,1000 mg,"Libido, blodsocker.",Testofen-extrakt.,Låg.,FALSE,2; 6
Bockhornsklöver,Fenugreek,Grön,500 mg,1000 mg,Blodsocker efter mat.,Fiber/Saponiner.,Låg.,FALSE,6
Bor (Boron),Boron (Citrate/Glycinate),Grön,3 mg,9 mg,"Fritt testosteron, ben.",Sänker SHBG.,Låg.,FALSE,2; 9
Boron,Boron,Grön,3 mg,10 mg,"Benhälsa, hormoner.",Sänker SHBG (ökar fritt testosteron).,Låg.,FALSE,9; 2; 1
Boron,Boron,Grön,6 mg,12 mg,Fritt testosteron.,Sänker SHBG.,Låg.,FALSE,2; 9
Boswellia,Boswellia Serrata,Grön,300 mg,500 mg,Inflammation (leder).,AKBA (5-LOX hämmare).,Låg.,FALSE,9
Boswellia (ApresFlex),Boswellia (ApresFlex),Grön,100 mg,200 mg,"Leder, snabbverkande.",Hög biotillgänglighet av AKBA.,Låg.,FALSE,9
Boswellia Serrata,Boswellia Serrata (AKBA),Grön,300 mg,500 mg,"5-LOX hämmare, ledsmärta.",Välj extrakt med hög AKBA-halt.,Låg.,FALSE,9; 1
Broccoligroddar,Broccoli Sprout (Sulforaphane),Grön,20 mg,50 mg,"Detox, hormonbalans.",Potent antioxidant.,Låg.,FALSE,6; 8
Bromelain,Bromelain (Pineapple),Grön,500 mg,1500 mg,"Protein, inflammation, skada.",Mäts i GDU (Gelatin Digesting Units),Låg.,FALSE,1; 9
Bromelain,Bromelain,Grön,500 mg,1500 mg,"Skada, svullnad.",Tas på tom mage för inflammation.,Låg.,FALSE,9
Brännässla,Stinging Nettle,Grön,300 mg,600 mg,"Hår, allergi, prostata.",Sänker SHBG.,Låg.,FALSE,1; 2
Brännässlerot,Stinging Nettle Root,Grön,250 mg,500 mg,"Prostata, binder SHBG.",Roten (ej bladen) för prostata.,Låg.,FALSE,1; 2
C-vitamin,Vitamin C,Grön,500 mg,1000 mg,Immunförsvar.,Antioxidant.,Låg.,TRUE,1
C-vitamin (Liposomal),Vitamin C (Liposomal),Grön,1000 mg,3000 mg,"Högre upptag, stannar längre.","Dyrare, men effektivare.",Låg.,TRUE,1; 8
Capsaicin (Cayenne),Capsaicin,Grön,40000 HU,100000 HU,"Termogenes, metabolism.",Kan irritera magen.,Låg.,FALSE,6
Catuaba,Catuaba Bark,Blå,500 mg,1000 mg,"Libido, dopamin?",Brasiliansk bark.,Låg.,FALSE,2
CBD (Fullspektrum),CBD Oil,Grön,10 mg,50 mg,"Sömn, smärta, ångest.",Endocannabinoid-systemet.,Låg. Pris?,FALSE,7; 5
Celastrus Paniculatus,Celastrus Paniculatus,Blå,200 mg,500 mg,"""Intellect Tree"", minne.",Ayurvedisk nootropic.,Låg.,FALSE,4
Chaga,Chaga Mushroom,Grön,1 g,2 g,"Antioxidant, immun.",Björk-svamp.,Låg.,FALSE,1
Chaga,Chaga,Grön,1 g,2 g,Antioxidant/Immun.,Superoxid dismutas (SOD).,Låg.,FALSE,1
Chlorella,Chlorella (Broken Cell Wall),Grön,3 g,6 g,"Klorofyll, detox.",Måste ha 'broken cell wall'.,Låg.,FALSE,1; 6
Chrysin,Chrysin,Blå,500 mg,1000 mg,Aromatashämmare (teoretisk).,Mycket dåligt upptag oralt.,Låg.,FALSE,2
Cissus,Cissus Quadrangularis,Blå,500 mg,1000 mg,"Benläkning, leder.",Ketosteroner.,Låg.,FALSE,9
Citikolin,Citicoline,Grön,250 mg,500 mg,Acetylkolin/Dopamin.,Fokus/Energi.,Låg.,FALSE,4
Citikolin (CDP-Choline),Citicoline (CDP-Choline),Grön,250 mg,500 mg,"Ökar dopaminreceptorer, fosfolipider.",Mycket bra biotillgänglighet.,Låg.,FALSE,4; 8
Citronmeliss,Lemon Balm (Melissa officinalis),Grön,300 mg,600 mg,"Lugnande, GABA-transaminashämmare.",Kognition vid stress.,Låg.,FALSE,5; 7
Citronmeliss,Lemon Balm,Grön,300 mg,600 mg,"Oro, mage.",GABA-T hämmare.,Låg.,FALSE,5; 7
Citrulline Malate,L-Citrulline Malate (2:1),Grön,6000 mg,8000 mg,Pre-workout för pump/blodflöde.,Bättre än Arginin för att höja Arginin.,Låg.,FALSE,3; 2; 1
CLA,Conjugated Linoleic Acid,Grön,3 g,6 g,Fettminskning (måttlig effekt).,Från safflorolja.,Låg.,FALSE,6
CLA,CLA,Grön,3 g,6 g,Fettmassa?,Tveksam effekt människa.,Låg.,FALSE,6
CoQ10,CoQ10,Grön,100 mg,200 mg,"Rynkreduktion, energi.",Ubiquinone/Ubiquinol.,Låg.,FALSE,1; 8
Cordyceps (Sinensis),Cordyceps Sinensis (CS-4),Grön,1 g,3 g,"Syreupptag, ATP, energi.",Mycelium-extrakt (CS-4) vanligast.,Låg.,FALSE,3; 2
Curcumin,Curcumin,Grön,500 mg,1000 mg,Inflammation.,Fytosom/Piperin krävs.,Medium. Blodförtunnande.,FALSE,9; 1
Curcumin (Fytosom/Lipid),Curcumin (Phytosome/Lipid),Grön,500 mg,1000 mg,Potent antiinflammatorisk.,Vanligt curcumin tas upp dåligt.,Medium. Blodförtunnande.,FALSE,9; 8; 4
Curcumin (Longvida),Curcumin (Longvida),Grön,400 mg,800 mg,"Hjärnhälsa, kognition.",Korsar BBB (fri curcumin).,Låg.,FALSE,4; 8
Curcumin (Meriva),Curcumin Phytosome (Meriva),Grön,500 mg,1000 mg,"Ledvärk, inflammation.",Kliniskt studerad form.,Låg.,FALSE,9
D-Asparaginsyra,D-Aspartic Acid (DAA),Grön,3 g,3 g,Testosteron (tillfällig boost).,LH-stimulering. Effekt avtar?,Låg.,FALSE,2
D-Asparaginsyra,D-Aspartic Acid,Grön,3 g,3 g,Testosteron (kort sikt).,LH-puls.,Låg.,FALSE,2
D-Chiro-Inositol,D-Chiro-Inositol,Blå,50 mg,100 mg,PCOS (40:1 ratio med Myo).,Sekundär budbärare insulin.,Låg.,FALSE,6
D-Mannose,D-Mannose,Grön,1 g,2 g,Urinvägsinfektion (E. coli).,Binder bakterier i urinblåsan.,Låg.,FALSE,1
D-Mannose,D-Mannose,Grön,2 g,4 g,Urinvägsinfektion.,Binder E.coli.,Låg.,FALSE,1
D-Serin,D-Serine,Blå,1000 mg,2000 mg,NMDA-receptor (schizofreni-studier).,Kognition.,Låg.,FALSE,4
D-vitamin,Vitamin D3,Grön,2000 IU,5000 IU,"Immunförsvar, ben.",Hormonell effekt.,Låg.,TRUE,1; 9
D-vitamin,Vitamin D3,Grön,2000 IU,5000 IU,T-cellsaktivering.,Kritisk för immunförsvar.,Låg.,TRUE,1
D-vitamin,Vitamin D,Grön,2000 IU,5000 IU,Säsongsdepression (SAD).,Serotoninsyntes.,Låg.,TRUE,5; 1
D-vitamin,Vitamin D,Grön,2000 IU,5000 IU,Hjärnhälsa.,Receptorer i hjärnan.,Låg.,TRUE,4; 1
D-vitamin,Vitamin D,Grön,2000 IU,5000 IU,Insulinsekretion.,Betacell-funktion.,Låg.,TRUE,6; 1
Damiana,Damiana,Blå,400 mg,800 mg,Libido (båda könen).,Avslappnande.,Låg.,FALSE,2
DGL Lakrits,DGL (Deglycyrrhizinated Licorice),Grön,380 mg,760 mg,"Magsår, halsbränna.",Utan glycyrrhizin (höjer ej blodtryck).,Låg.,FALSE,1
DHEA,DHEA,Grön,25 mg,50 mg,Hormonprekursor.,Endast vid konstaterad brist (ålder).,Hög. Hormonella biverkningar.,FALSE,8; 2
DHEA,DHEA,Grön,25 mg,50 mg,Hormonprekursor (äldre).,Ökar T och Östrogen.,Hög. Hormonell obalans.,FALSE,8; 2
DIM,DIM (Diindolylmethane),Blå,100 mg,200 mg,Östrogenmetabolism.,Från kålväxter.,Låg. Kan ändra hormonbalans.,FALSE,6; 2
DIM,DIM,Grön,100 mg,200 mg,Östrogenbalans.,"""Bra"" östrogenmetaboliter.",Låg.,FALSE,6
DIM (Diindolylmethane),DIM (Diindolylmethane),Grön,100 mg,200 mg,Östrogenbalans (akne/PMS).,Från kål.,Låg.,FALSE,6
Djävulsklo,Devil's Claw,Grön,500 mg,1000 mg,"Ryggvärk, artros.",Harpagosid.,Låg.,FALSE,9
Dong Quai,Dong Quai,Blå,500 mg,1000 mg,Kvinnlig hälsa (PMS).,"""Kvinnlig ginseng"".",Medium. Blodförtunnande.,FALSE,1
Druvkärneextrakt,Grape Seed Extract,Grön,100 mg,300 mg,"Blodtryck, cirkulation.",Rikt på OPC (proantocyanidiner).,Låg.,FALSE,1; 8
Druvkärneextrakt,Grape Seed Extract,Grön,150 mg,300 mg,"Blodtryck, ödem.",Standardiserat för OPC.,Låg.,FALSE,1
Druvkärneextrakt,Grape Seed Extract,Grön,100 mg,300 mg,"Kollagenskydd, kärl.",Antioxidant.,Låg.,FALSE,1
Druvkärneextrakt,Grape Seed Extract,Grön,150 mg,300 mg,Blodtryck.,OPCs.,Låg.,FALSE,1
Dynamine,Methylliberine (Dynamine),Blå,50 mg,100 mg,Snabb energi/fokus.,Snabbare än koffein/teakrin.,Låg.,FALSE,3; 4
E-vitamin,Vitamin E,Grön,200 IU,400 IU,Immunfunktion (äldre).,T-cellsfunktion.,Låg.,TRUE,1
E-vitamin (Gamma-tokoferol),Gamma-Tocopherol,Grön,100 mg,300 mg,Antiinflammatorisk form av E-vit.,Kompletterar Alfa-tokoferol.,Låg.,FALSE,1; 8
EAA,EAA (Essential Amino Acids),Grön,10 g,20 g,Stimulerar proteinsyntes (mTOR).,Tas på tom mage kring träning.,Låg.,FALSE,2; 3; 7
Ecdysterone,Ecdysterone (Spinach/Cyanotis),Grön,500 mg,1000 mg,"Muskelbyggande, anabol.",Binder ER-beta receptorn.,Låg.,FALSE,2
Echinacea,Echinacea,Grön,300 mg,900 mg,Förkylning.,Ökar fagocytos.,Låg. Autoimmun risk?,FALSE,1
Elektrolyter,Electrolytes (Na/K/Mg),Grön,Varierar,Varierar,Hydrering vid svettning.,Balans viktig.,Låg.,FALSE,3
Enoki,Enoki Mushroom,Blå,500 mg,1000 mg,"Näring, immun.",Mat-svamp.,Låg.,FALSE,1
Enzymer (DAO),DAO (Diamine Oxidase),Grön,4.2 mg,N/A,Histaminintolerans.,Bryter ner histamin i mat.,Låg.,FALSE,1
Enzymer (Digestive),Digestive Enzymes,Grön,N/A,N/A,Matsmältningsstöd.,Tas med mat. Varierar stort.,Låg.,FALSE,1
Enzymer (Gluten),Gluten Digesting Enzymes (DPP-IV),Blå,N/A,N/A,Vid glutenkänslighet (ej celiaki!).,Bryter ner prolin-rika proteiner.,Låg. Ej för Celiaki.,FALSE,1
Enzymer (Laktas),Lactase Enzyme,Grön,3000 FCC,9000 FCC,Laktosintolerans.,Tas vid intag av mjölk.,Låg.,FALSE,1
Epicatechin,Epicatechin,Blå,100 mg,300 mg,"Myostatinhämmare, NO, muskler.",Från kakao/te.,Låg.,FALSE,2; 3
Exogena Ketoner (BHB),Exogenous Ketones (BHB Salts),Grön,3 g,12 g,"Omedelbar ketos, hjärnenergi.",Innehåller mycket salt (Na/Ca/Mg).,Låg. Magbesvär.,FALSE,6; 3; 4
Fasoracetam,Fasoracetam,Blå,20 mg,80 mg,"Fokus, ADHD-forskning.",Uppreglerar GABA-B.,Låg.,FALSE,4
Fenugreek (Bockhornsklöver),Fenugreek Extract,Grön,500 mg,1000 mg,"Libido, blodsocker, amning.",Kan blockera DHT.,Låg.,FALSE,2; 6
Fenylalanin (DLPA),DL-Phenylalanine (DLPA),Grön,500 mg,1500 mg,"Smärta (endorfiner), humör.",Blandning av D- och L-form.,Låg.,FALSE,4; 5
Fenyletylamin,PEA (Phenylethylamine),Blå,300 mg,500 mg,"""Kärleksmolekylen"", fokus.",Bryts ner snabbt (MAO-B).,Medium. Kortvarig effekt.,FALSE,4
Fenylpiracetam,Phenylpiracetam,Blå,100 mg,200 mg,"Fysisk/mental energi, kyla.",Stimulerande. Dopingklassad (tävling).,Låg. Tolerans snabbt.,FALSE,4; 3
Fiber (Glucomannan),Glucomannan,Grön,1 g,3 g,"Blodsocker, mättnad.",Gelbildande fiber.,Låg.,FALSE,6
Fisetin,Fisetin,Blå,100 mg,1400 mg,Hög dos i korta intervall (senolytiskt).,Tas med fett. Låg biotillgänglighet.,Låg.,FALSE,8; 4
Fiskolja,Fish Oil (Omega-3),Grön,2 g,4 g,Ledstelhet.,Antiinflammatorisk.,Låg.,TRUE,9; 1
Fläderbär,Elderberry (Sambucus),Grön,500 mg,1000 mg,Förkylning/Influensa.,Antiviral effekt.,Låg.,FALSE,1
Fo-Ti (He Shou Wu),Fo-Ti (He Shou Wu),Blå,500 mg,1000 mg,"Grått hår, vitalitet.",Leverpåverkan (var försiktig).,Medium. Levertoxicitet?,FALSE,1
Folsyra,Folic Acid,Grön,400 mcg,800 mcg,"Graviditet, celldelning.","Syntetisk, kan maskera B12-brist.",Låg.,TRUE,1
Folsyra (Metyl),Methylfolate,Grön,400 mcg,800 mcg,Graviditet (foster).,Aktivt folat.,Låg.,TRUE,1
Forskolin,Forskolin (Coleus Forskohlii),Grön,25 mg,50 mg,"Fettförbränning, cAMP.",Standardiserad till 10-20%.,Låg. Mage (lös).,FALSE,6; 2
Fosfatidsyra,Phosphatidic Acid (PA),Grön,750 mg,1500 mg,"mTOR-aktivering, muskelstyrka.",Direkt signal för muskeltillväxt.,Låg.,FALSE,2
Fosfatidylserin,Phosphatidylserine,Grön,100 mg,300 mg,"Sänker kortisol, stödjer minne.",Soja- eller solroslecitin ursprung.,Låg.,FALSE,5; 4; 7
Fosfatidylserin,Phosphatidylserine,Grön,300 mg,600 mg,Sömn (kortisol-driven).,Sänker kortisol på kvällen.,Låg.,FALSE,7; 5
Fosfatidylserin,Phosphatidylserine,Grön,100 mg,300 mg,"Minne, stress.",Membranfluiditet.,Låg.,FALSE,4; 5
Fukoxantin,Fucoxanthin,Blå,2.4 mg,8 mg,Fettförbränning (från tång).,Kräver lång tid för effekt (veckor).,Låg.,FALSE,6
Fänkål,Fennel Seed,Blå,500 mg,1000 mg,"Gaser, matsmältning.",Kramp-dämpande.,Låg.,FALSE,1
GABA,GABA,Blå,500 mg,750 mg,Lugnande.,Dåligt upptag över BBB (fysiologiskt).,Låg. Stickningar kan förekomma.,FALSE,5; 7
GABA,GABA,Blå,500 mg,1000 mg,Ångest.,Dåligt upptag.,Låg.,FALSE,5
GABA (PharmaGABA),PharmaGABA,Grön,100 mg,200 mg,"Fermenterad form, bättre upptag?","Stress, sömn.",Låg.,FALSE,5; 7
GABA (Syntetisk),GABA,Blå,1 g,3 g,"Ökar GH (teoretiskt), sömn.",Dåligt upptag till hjärnan.,Låg.,FALSE,5; 7
Galantamin,Galantamine,Grön,4 mg,12 mg,"Minne, drömmar (lucid dreaming).",Alzheimer-medicin (även tillskott).,Medium. Illamående.,FALSE,4
Garcinia Cambogia,Garcinia Cambogia (HCA),Blå,500 mg,1500 mg,"Aptit, fettsyntes.",Effekt debatterad. 50-60% HCA.,Låg.,FALSE,6
Ginkgo,Ginkgo Biloba,Grön,120 mg,240 mg,Cirkulation hjärna.,Minne äldre.,Medium. Blödning.,FALSE,4
Ginkgo Biloba,Ginkgo Biloba,Grön,120 mg,240 mg,"Blodflöde hjärna, minne.",Standardiserat extrakt (EGb-761).,Medium. Blodförtunnande.,FALSE,4
Ginkgo Biloba,Ginkgo Biloba,Grön,120 mg,240 mg,Blodflöde (sexuellt).,Mikrocirkulation.,Medium. Blödning.,FALSE,4; 2
Ginseng,Panax Ginseng,Grön,200 mg,400 mg,"Erektion, energi.",Kväveoxid-mediator.,Låg.,FALSE,2; 3
Ginseng (Amerikansk),American Ginseng,Grön,500 mg,1000 mg,"Lugnande energi, kognition.",Kylande (TCM).,Låg.,FALSE,4
Ginseng (Panax),Panax Ginseng,Grön,200 mg,400 mg,"Energi, libido, kognition.",Standardisera ginsenosider (4-8%).,Låg. Kan höja blodtryck.,FALSE,3; 2; 4
Ginseng (Sibirisk),Eleuthero (Siberian Ginseng),Grön,500 mg,1000 mg,"Uthållighet, immunförsvar.",Mildare än Panax.,Låg.,FALSE,3; 1
GLA (Nattljusolja),GLA (Evening Primrose Oil),Grön,1 g,3 g,"Hudproblem (eksem), hormoner.",Omega-6 (antiinflammatorisk).,Låg.,FALSE,1; 6
Glukomannan,Glucomannan (Konjac),Grön,1 g,3 g,"Fiber, mättnadskänsla.",Expanderar i magen (drick vatten!).,Låg. Kvävningsrisk utan vatten.,FALSE,6
Glukosamin,Glucosamine Sulfate,Grön,1500 mg,1500 mg,Artros.,Sulfat > HCL.,Låg.,FALSE,9
Glukosamin Sulfat,Glucosamine Sulfate,Grön,1500 mg,1500 mg,"Broskhälsa, artros.",Sulfatformen har bäst evidens.,Låg. Skaldjursallergi?,FALSE,9
Glutathion (Reducerat),Glutathione (Reduced),Blå,250 mg,500 mg,Antioxidant.,Dåligt oralt upptag (Setria bättre).,Låg.,FALSE,1; 8
Glutation,Glutathione,Blå,250 mg,500 mg,"Huduppljusning, detox.",Liposomalt bäst.,Låg.,FALSE,1; 8
Glutation,Glutathione,Blå,250 mg,500 mg,Master antioxidant.,Immunförsvarets bränsle.,Låg.,FALSE,1
Glycerol,Glycerol (Glycerpump),Grön,2 g,5 g,"Hyperhydrering, pump.",Binder vätska i muskeln.,Låg. Klumpar sig i pulver.,FALSE,3
Glycin,Glycine,Grön,3 g,5 g,"Sömnkvalitet, kollagenbyggsten.","Söt smak, tas vid sänggående.",Låg.,FALSE,7; 8; 9
Glycin,Glycine,Grön,3 g,5 g,Sömnkvalitet.,Sänker kroppstemp.,Låg.,FALSE,7
Gojibär,Goji Berry (Lycium),Grön,10 g,30 g,"Ögon, immunförsvar.",Rik på zeaxantin.,Låg.,FALSE,1
Gotu Kola,Gotu Kola (Centella Asiatica),Grön,300 mg,600 mg,"Hud, ångest, cirkulation.",Ökar kollagensyntes.,Låg.,FALSE,1; 5; 4
Gotu Kola,Gotu Kola,Blå,500 mg,1000 mg,"Nerver, minne.",Neuroprotektiv.,Låg.,FALSE,4
Grains of Paradise,Grains of Paradise (Aframomum),Grön,30 mg,80 mg,Aktiverar brunt fett (BAT).,Krydda från ingefärsfamiljen.,Låg.,FALSE,6
Granatäppleextrakt,Pomegranate Extract,Grön,250 mg,500 mg,"Hjärta, blodflöde, ellagsyra.",Kan omvandlas till Urolithin A.,Låg.,FALSE,1; 8
